"ID"	"count"	"names"
"-"	" 4922"	"check study"
"0"	"    3"	"check study"
"13"	"    1"	"check study"
"14"	"    1"	"check study"
"15"	"    1"	"check study"
"16"	"    1"	"check study"
"17"	"    1"	"check study"
"18"	"    1"	"check study"
"19"	"    1"	"check study"
"20"	"    1"	"check study"
"21"	"    1"	"check study"
"23"	"    1"	"check study"
"24"	"    1"	"check study"
"25"	"    1"	"check study"
"Blau A7"	"    1"	"check study"
"Blau A8"	"    1"	"check study"
"Blau A9"	"    1"	"check study"
"controls"	"   12"	"check study"
"Dag"	"   10"	"check study"
"Deeplex"	"   15"	"check study"
"Deutschland"	"  283"	"check study"
"DNA"	"   12"	"check study"
"external"	"  665"	"check study"
"FIND"	"   81"	"check study"
"Gelb F1"	"    1"	"check study"
"Gelb F10"	"    1"	"check study"
"Gelb F2"	"    1"	"check study"
"Gelb F3"	"    1"	"check study"
"Gelb F4"	"    1"	"check study"
"Gelb F5"	"    1"	"check study"
"Gelb F6"	"    1"	"check study"
"Gelb F7"	"    1"	"check study"
"Gelb F8"	"    1"	"check study"
"Gelb F9"	"    1"	"check study"
"Grün G10"	"    1"	"check study"
"Grün G11"	"    1"	"check study"
"Grün G12"	"    1"	"check study"
"Grün G5"	"    1"	"check study"
"Grün G6"	"    1"	"check study"
"Grün G7"	"    1"	"check study"
"Grün G8"	"    1"	"check study"
"Grün H1"	"    1"	"check study"
"internal"	"   94"	"check study"
"Internal"	"    9"	"check study"
"Karen Björn-Mortensen"	"    9"	"check study"
"M.bovis"	"   23"	"check study"
"M.chimaera"	"    1"	"check study"
"Mailand"	"    5"	"check study"
"Maputo"	"    5"	"check study"
"NGS-Aufträge"	"   11"	"check study"
"NRZ"	"    2"	"check study"
"NRZ (Fenja)"	"   18"	"check study"
"NRZ-Auftrag"	"    9"	"check study"
"Rasmussen"	"   99"	"check study"
"roter Ständer"	"   14"	"check study"
"Vera Katalinic-Jankovic"	"    1"	"check study"
